0.013 0.696E+05  
0.015 0.746E+05  
0.017 0.797E+05  
0.019 0.874E+05  
0.021 0.942E+05  
0.024 0.101E+06  
0.027 0.103E+06  
0.030 0.109E+06  
0.033 0.108E+06  
0.038 0.107E+06  
0.042 0.101E+06  
0.047 0.885E+05  
0.053 0.696E+05  
0.060 0.644E+05  
0.067 0.593E+05  
0.075 0.543E+05  
0.084 0.497E+05  
0.094 0.451E+05  
0.106 0.406E+05  
0.119 0.358E+05  
0.133 0.317E+05  
0.150 0.273E+05  
0.168 0.239E+05  
0.188 0.204E+05  
0.211 0.170E+05  
0.237 0.145E+05  
0.266 0.120E+05  
0.299 0.996E+04  
0.335 0.811E+04  
0.376 0.662E+04  
0.422 0.527E+04  
0.473 0.423E+04  
0.531 0.337E+04  
0.596 0.266E+04  
0.668 0.209E+04  
0.750 0.162E+04  
0.841 0.124E+04  
0.944 0.950E+03  
