0.013 0.114E+06 
0.015 0.124E+06 
0.017 0.138E+06  
0.019 0.146E+06  
0.021 0.155E+06 
0.024 0.159E+06  
0.027 0.164E+06  
0.030 0.181E+06  
0.033 0.174E+06  
0.038 0.179E+06  
0.042 0.178E+06  
0.047 0.176E+06  
0.053 0.153E+06  
0.060 0.131E+06  
0.067 0.123E+06  
0.075 0.114E+06  
0.084 0.107E+06  
0.094 0.963E+05  
0.106 0.842E+05  
0.119 0.727E+05  
0.133 0.635E+05  
0.150 0.552E+05   
0.168 0.477E+05  
0.188 0.412E+05  
0.211 0.344E+05  
0.237 0.284E+05  
0.266 0.236E+05  
0.299 0.196E+05  
0.335 0.158E+05  
0.376 0.128E+05  
0.422 0.103E+05  
0.473 0.820E+04  
0.531 0.649E+04  
0.596 0.515E+04  
0.668 0.398E+04  
0.750 0.313E+04  
0.841 0.241E+04  
0.944 0.182E+04  
