0.013  0.116E+06  
0.015  0.128E+06 
0.017  0.136E+06  
0.019  0.150E+06  
0.021  0.158E+06  
0.024  0.162E+06 
0.027  0.170E+06  
0.030  0.196E+06  
0.033  0.177E+06  
0.038  0.182E+06  
0.042  0.183E+06  
0.047  0.181E+06  
0.053  0.155E+06  
0.060  0.132E+06 
0.067  0.123E+06 
0.075  0.112E+06  
0.084  0.101E+06  
0.094  0.921E+05  
0.106  0.822E+05  
0.119  0.725E+05  
0.133  0.640E+05  
0.150  0.556E+05 
0.168  0.476E+05 
0.188  0.408E+05  
0.211  0.341E+05  
0.237  0.286E+05 
0.266  0.235E+05  
0.299  0.193E+05  
0.335  0.157E+05 
0.376  0.126E+05 
0.422  0.102E+05  
0.473  0.815E+04  
0.531  0.648E+04  
0.596  0.502E+04  
0.668  0.394E+04  
0.750  0.303E+04  
0.841  0.233E+04  
0.944  0.179E+04  
