Hawking secondary spectra for each particle type.
energy/particle         photon       electron           nu_e          nu_mu         nu_tau         proton
    1.00000e-06    3.46519e+22    0.00000e+00    8.42900e+22    1.13725e+20    0.00000e+00    0.00000e+00
    1.05200e-06    3.40853e+22    0.00000e+00    8.38539e+22    1.62586e+20    0.00000e+00    0.00000e+00
    1.10700e-06    3.17229e+22    0.00000e+00    8.06818e+22    1.56311e+20    0.00000e+00    0.00000e+00
    1.16400e-06    3.06812e+22    0.00000e+00    8.05813e+22    1.88987e+20    0.00000e+00    0.00000e+00
    1.22500e-06    2.87663e+22    0.00000e+00    7.67340e+22    1.99688e+20    0.00000e+00    0.00000e+00
    1.28900e-06    2.79930e+22    0.00000e+00    7.57367e+22    2.61359e+20    0.00000e+00    0.00000e+00
    1.35600e-06    2.60913e+22    0.00000e+00    7.23997e+22    2.82094e+20    0.00000e+00    0.00000e+00
    1.42700e-06    2.51693e+22    0.00000e+00    6.99363e+22    3.12871e+20    0.00000e+00    0.00000e+00
    1.50100e-06    2.39024e+22    0.00000e+00    6.67986e+22    3.50712e+20    0.00000e+00    0.00000e+00
    1.57900e-06    2.25331e+22    0.00000e+00    6.33548e+22    3.99587e+20    0.00000e+00    0.00000e+00
    1.66100e-06    2.20008e+22    0.00000e+00    6.06783e+22    4.37302e+20    0.00000e+00    0.00000e+00
    1.74800e-06    2.04743e+22    0.00000e+00    5.67990e+22    4.76716e+20    0.00000e+00    0.00000e+00
    1.83900e-06    1.99914e+22    0.00000e+00    5.42371e+22    5.68306e+20    0.00000e+00    0.00000e+00
    1.93500e-06    1.85766e+22    0.00000e+00    5.03140e+22    5.90384e+20    0.00000e+00    0.00000e+00
    2.03500e-06    1.80551e+22    0.00000e+00    4.76166e+22    6.88151e+20    0.00000e+00    0.00000e+00
    2.14100e-06    1.68349e+22    0.00000e+00    4.37575e+22    7.32173e+20    0.00000e+00    0.00000e+00
    2.25300e-06    1.64726e+22    0.00000e+00    4.12996e+22    8.20780e+20    0.00000e+00    0.00000e+00
    2.37000e-06    1.54671e+22    0.00000e+00    3.75033e+22    8.70417e+20    0.00000e+00    0.00000e+00
    2.49300e-06    1.50006e+22    0.00000e+00    3.50566e+22    1.01370e+21    0.00000e+00    0.00000e+00
    2.62300e-06    1.39476e+22    0.00000e+00    3.18599e+22    1.06225e+21    0.00000e+00    0.00000e+00
    2.76000e-06    1.37215e+22    0.00000e+00    2.94239e+22    1.19233e+21    0.00000e+00    0.00000e+00
    2.90400e-06    1.28141e+22    0.00000e+00    2.66199e+22    1.28955e+21    0.00000e+00    0.00000e+00
    3.05500e-06    1.24092e+22    0.00000e+00    2.44127e+22    1.41453e+21    0.00000e+00    0.00000e+00
    3.21400e-06    1.17047e+22    0.00000e+00    2.22234e+22    1.58539e+21    0.00000e+00    0.00000e+00
    3.38100e-06    1.12714e+22    0.00000e+00    2.00238e+22    1.63466e+21    0.00000e+00    0.00000e+00
    3.55700e-06    1.05992e+22    0.00000e+00    1.84472e+22    1.84607e+21    0.00000e+00    0.00000e+00
    3.74200e-06    1.02471e+22    0.00000e+00    1.64014e+22    1.98691e+21    0.00000e+00    0.00000e+00
    3.93700e-06    9.70262e+21    0.00000e+00    1.50803e+22    2.14118e+21    0.00000e+00    0.00000e+00
    4.14200e-06    9.31004e+21    0.00000e+00    1.34743e+22    2.35254e+21    0.00000e+00    0.00000e+00
    4.35800e-06    8.84159e+21    0.00000e+00    1.24165e+22    2.49941e+21    0.00000e+00    0.00000e+00
    4.58500e-06    8.37566e+21    0.00000e+00    1.12617e+22    2.74449e+21    0.00000e+00    0.00000e+00
    4.82400e-06    8.02771e+21    0.00000e+00    1.03292e+22    2.92622e+21    0.00000e+00    0.00000e+00
    5.07500e-06    7.63841e+21    0.00000e+00    9.42286e+21    3.24323e+21    0.00000e+00    0.00000e+00
    5.33900e-06    7.27800e+21    0.00000e+00    8.73557e+21    3.37399e+21    0.00000e+00    0.00000e+00
    5.61700e-06    6.94464e+21    0.00000e+00    8.10212e+21    3.72442e+21    0.00000e+00    0.00000e+00
    5.90900e-06    6.61249e+21    0.00000e+00    7.61547e+21    3.91788e+21    0.00000e+00    0.00000e+00
    6.21700e-06    6.36981e+21    0.00000e+00    7.13085e+21    4.20644e+21    0.00000e+00    0.00000e+00
    6.54100e-06    6.06593e+21    0.00000e+00    6.79035e+21    4.52852e+21    0.00000e+00    0.00000e+00
    6.88100e-06    5.80799e+21    0.00000e+00    6.58145e+21    4.83363e+21    0.00000e+00    0.00000e+00
    7.24000e-06    5.63511e+21    0.00000e+00    6.26802e+21    5.16375e+21    0.00000e+00    0.00000e+00
    7.61700e-06    5.34137e+21    0.00000e+00    6.26390e+21    5.47552e+21    0.00000e+00    0.00000e+00
    8.01300e-06    5.24734e+21    0.00000e+00    5.99895e+21    5.80154e+21    0.00000e+00    0.00000e+00
    8.43000e-06    4.89247e+21    0.00000e+00    6.12200e+21    6.18191e+21    0.00000e+00    0.00000e+00
    8.86900e-06    4.87304e+21    0.00000e+00    5.94035e+21    6.56988e+21    0.00000e+00    0.00000e+00
    9.33100e-06    4.61175e+21    0.00000e+00    6.12615e+21    6.92909e+21    0.00000e+00    0.00000e+00
    9.81700e-06    4.49929e+21    0.00000e+00    6.08353e+21    7.31702e+21    0.00000e+00    0.00000e+00
    1.03300e-05    4.35659e+21    0.00000e+00    6.23882e+21    7.67519e+21    0.00000e+00    0.00000e+00
    1.08700e-05    4.26394e+21    0.00000e+00    6.24510e+21    8.13514e+21    0.00000e+00    0.00000e+00
    1.14300e-05    4.08116e+21    0.00000e+00    6.46486e+21    8.45892e+21    0.00000e+00    0.00000e+00
    1.20300e-05    4.07725e+21    0.00000e+00    6.56357e+21    8.93188e+21    0.00000e+00    0.00000e+00
    1.26500e-05    3.93600e+21    0.00000e+00    6.79229e+21    9.31636e+21    0.00000e+00    0.00000e+00
    1.33100e-05    3.89845e+21    0.00000e+00    6.94873e+21    9.74093e+21    0.00000e+00    0.00000e+00
    1.40100e-05    3.77596e+21    0.00000e+00    7.10777e+21    1.02334e+22    0.00000e+00    0.00000e+00
    1.47300e-05    3.73016e+21    0.00000e+00    7.38699e+21    1.05496e+22    0.00000e+00    0.00000e+00
    1.55000e-05    3.71083e+21    0.00000e+00    7.46838e+21    1.10511e+22    0.00000e+00    0.00000e+00
    1.63100e-05    3.64324e+21    0.00000e+00    7.76428e+21    1.14091e+22    0.00000e+00    0.00000e+00
    1.71600e-05    3.63614e+21    0.00000e+00    7.88300e+21    1.19223e+22    0.00000e+00    0.00000e+00
    1.80500e-05    3.60748e+21    0.00000e+00    8.13916e+21    1.22105e+22    0.00000e+00    0.00000e+00
    1.89900e-05    3.57406e+21    0.00000e+00    8.32812e+21    1.27350e+22    0.00000e+00    0.00000e+00
    1.99800e-05    3.60683e+21    0.00000e+00    8.53466e+21    1.30947e+22    0.00000e+00    0.00000e+00
    2.10200e-05    3.57837e+21    0.00000e+00    8.73713e+21    1.35498e+22    0.00000e+00    0.00000e+00
    2.21200e-05    3.60612e+21    0.00000e+00    8.87584e+21    1.38660e+22    0.00000e+00    0.00000e+00
    2.32700e-05    3.63228e+21    0.00000e+00    9.08443e+21    1.43474e+22    0.00000e+00    0.00000e+00
    2.44800e-05    3.65756e+21    0.00000e+00    9.23161e+21    1.46700e+22    0.00000e+00    0.00000e+00
    2.57500e-05    3.71848e+21    0.00000e+00    9.35719e+21    1.49880e+22    0.00000e+00    0.00000e+00
