Hawking primary spectra for each particle types.
energy/particle         photon         gluons          higgs            W+-             Z0      neutrinos       electron           muon            tau             up           down          charm        strange            top         bottom       graviton
    2.10000e-05    3.02908e+13    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    2.81611e+17    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    8.57741e+05
    2.33991e-05    4.15679e+13    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    3.47045e+17    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.47859e+06
    2.60723e-05    5.70434e+13    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    4.27684e+17    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    2.54881e+06
    2.90509e-05    7.82805e+13    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    5.27060e+17    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    4.39368e+06
    3.23697e-05    1.07424e+14    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    6.49527e+17    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    7.57388e+06
    3.60677e-05    1.47417e+14    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    8.00449e+17    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.30560e+07
    4.01882e-05    2.02300e+14    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    9.86440e+17    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    2.25061e+07
    4.47794e-05    2.77615e+14    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.21565e+18    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    3.87963e+07
    4.98951e-05    3.80970e+14    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.49811e+18    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    6.68776e+07
    5.55953e-05    5.22804e+14    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.84621e+18    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.15285e+08
    6.19467e-05    7.17441e+14    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    2.27519e+18    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.98729e+08
    6.90236e-05    9.84541e+14    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    2.80385e+18    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    3.42572e+08
    7.69091e-05    1.35108e+15    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    3.45535e+18    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    5.90531e+08
    8.56954e-05    1.85408e+15    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    4.25823e+18    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.01797e+09
    9.54855e-05    2.54435e+15    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    5.24767e+18    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.75478e+09
    1.06394e-04    3.49160e+15    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    6.46700e+18    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    3.02492e+09
    1.18549e-04    4.79150e+15    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    7.96966e+18    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    5.21441e+09
    1.32092e-04    6.57536e+15    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    9.82148e+18    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    8.98867e+09
    1.47183e-04    9.02334e+15    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.21036e+19    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.54948e+10
    1.63997e-04    1.23827e+16    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.49159e+19    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    2.67102e+10
    1.82733e-04    1.69927e+16    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.83818e+19    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    4.60434e+10
    2.03609e-04    2.33190e+16    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    2.26529e+19    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    7.93702e+10
    2.26870e-04    3.20005e+16    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    2.79165e+19    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.36820e+11
    2.52788e-04    4.39142e+16    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    3.44032e+19    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    2.35852e+11
    2.81667e-04    5.85920e+16    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    4.20288e+19    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    3.63058e+11
    3.13846e-04    8.47015e+16    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    5.19895e+19    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    6.31744e+11
    3.49700e-04    1.17786e+17    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    6.42766e+19    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.18502e+12
    3.89651e-04    1.57371e+17    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    7.94425e+19    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    2.30267e+12
    4.34166e-04    2.09059e+17    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    9.81380e+19    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    4.19165e+12
    4.83766e-04    2.87007e+17    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.21154e+20    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    6.75035e+12
    5.39033e-04    4.05912e+17    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.49483e+20    9.96552e+19    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.06234e+13
    6.00614e-04    5.62327e+17    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.84274e+20    1.22849e+20    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.83839e+13
    6.69229e-04    7.55834e+17    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    2.27048e+20    1.51365e+20    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    3.34687e+13
    7.45684e-04    1.03913e+18    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    2.79421e+20    1.86281e+20    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    5.51737e+13
    8.30873e-04    1.44329e+18    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    3.43645e+20    2.29097e+20    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    9.19764e+13
    9.25795e-04    1.94892e+18    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    4.22049e+20    2.81366e+20    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.62391e+14
    1.03156e-03    2.69424e+18    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    5.17875e+20    3.45250e+20    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    2.67235e+14
    1.14941e-03    3.65645e+18    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    6.34439e+20    4.22960e+20    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    4.63787e+14
    1.28072e-03    5.02306e+18    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    7.76234e+20    5.17489e+20    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    7.70827e+14
    1.42703e-03    6.81163e+18    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    9.48003e+20    6.32002e+20    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.32263e+15
    1.59006e-03    9.29699e+18    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.15576e+21    7.70507e+20    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    2.22273e+15
    1.77171e-03    1.26548e+19    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.40611e+21    9.37403e+20    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    3.72645e+15
    1.97412e-03    1.71617e+19    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.70687e+21    1.13791e+21    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    6.27764e+15
    2.19965e-03    2.32427e+19    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    2.06695e+21    1.37797e+21    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.05526e+16
    2.45094e-03    3.14181e+19    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    2.49618e+21    1.66412e+21    0.00000e+00    0.00000e+00    4.99236e+21    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.76612e+16
    2.73095e-03    4.23808e+19    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    3.00625e+21    2.00417e+21    0.00000e+00    0.00000e+00    6.01250e+21    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    2.95763e+16
    3.04294e-03    5.69864e+19    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    3.60913e+21    2.40609e+21    0.00000e+00    0.00000e+00    7.21826e+21    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    4.93174e+16
    3.39057e-03    7.65924e+19    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    4.31970e+21    2.87980e+21    0.00000e+00    0.00000e+00    8.63940e+21    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    8.19313e+16
    3.77792e-03    1.02481e+20    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    5.15201e+21    3.43468e+21    0.00000e+00    0.00000e+00    1.03040e+22    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.35628e+17
    4.20952e-03    1.36996e+20    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    6.12358e+21    4.08238e+21    0.00000e+00    0.00000e+00    1.22472e+22    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    2.24101e+17
    4.69043e-03    1.82289e+20    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    7.24762e+21    4.83175e+21    0.00000e+00    0.00000e+00    1.44952e+22    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    3.68481e+17
    5.22628e-03    2.42013e+20    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    8.53335e+21    5.68890e+21    0.00000e+00    0.00000e+00    1.70667e+22    1.70667e+22    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    6.04549e+17
    5.82334e-03    3.19850e+20    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    9.96826e+21    6.64550e+21    0.00000e+00    0.00000e+00    1.99365e+22    1.99365e+22    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    9.86275e+17
    6.48862e-03    4.21046e+20    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.14893e+22    7.65950e+21    0.00000e+00    0.00000e+00    2.29785e+22    2.29785e+22    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.60385e+18
    7.22990e-03    5.50566e+20    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.29303e+22    8.62018e+21    0.00000e+00    0.00000e+00    2.58606e+22    2.58606e+22    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    2.59669e+18
    8.05586e-03    7.13687e+20    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.39407e+22    9.29382e+21    0.00000e+00    0.00000e+00    2.78815e+22    2.78815e+22    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    4.18479e+18
    8.97618e-03    9.11086e+20    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.39883e+22    9.32550e+21    0.00000e+00    0.00000e+00    2.79765e+22    2.79765e+22    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    6.70883e+18
    1.00016e-02    1.12952e+21    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.26047e+22    8.40312e+21    0.00000e+00    0.00000e+00    2.52093e+22    2.52093e+22    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.06966e+19
    1.11443e-02    1.31964e+21    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    9.87608e+21    6.58405e+21    0.00000e+00    0.00000e+00    1.97522e+22    1.97522e+22    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.69636e+19
    1.24174e-02    1.37399e+21    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    6.64859e+21    4.43239e+21    0.00000e+00    0.00000e+00    1.32972e+22    1.32972e+22    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    2.66460e+19
    1.38360e-02    1.17031e+21    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    3.90081e+21    2.60054e+21    0.00000e+00    0.00000e+00    7.80162e+21    7.80162e+21    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    4.14075e+19
    1.54167e-02    7.70339e+20    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    2.05542e+21    1.37028e+21    0.00000e+00    0.00000e+00    4.11084e+21    4.11084e+21    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    6.26045e+19
    1.71779e-02    3.99206e+20    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.05545e+21    7.03632e+20    0.00000e+00    0.00000e+00    2.11090e+21    2.11090e+21    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    8.80010e+19
    1.91404e-02    1.73944e+20    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    5.55305e+20    3.70203e+20    0.00000e+00    0.00000e+00    1.11061e+21    1.11061e+21    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    9.98136e+19
    2.13270e-02    7.26405e+19    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    2.77833e+20    1.85222e+20    0.00000e+00    0.00000e+00    5.55667e+20    5.55667e+20    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    7.05294e+19
    2.37635e-02    3.16479e+19    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.07763e+20    7.18423e+19    0.00000e+00    0.00000e+00    2.15527e+20    2.15527e+20    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    2.95076e+19
    2.64783e-02    1.22930e+19    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    3.38729e+19    2.25819e+19    0.00000e+00    0.00000e+00    6.77458e+19    6.77458e+19    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    9.13404e+18
    2.95033e-02    3.41181e+18    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.02032e+19    6.80210e+18    0.00000e+00    0.00000e+00    2.04063e+19    2.04063e+19    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    2.63216e+18
    3.28738e-02    8.21582e+17    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    2.82703e+18    1.88469e+18    0.00000e+00    0.00000e+00    5.65406e+18    5.65406e+18    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    8.21294e+17
    3.66294e-02    1.94175e+17    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    5.53082e+17    3.68721e+17    0.00000e+00    0.00000e+00    1.10616e+18    1.10616e+18    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.75293e+17
    4.08141e-02    3.13785e+16    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    9.75559e+16    6.50372e+16    0.00000e+00    0.00000e+00    1.95112e+17    1.95112e+17    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    2.80601e+16
