Hawking secondary spectra for each particle type.
energy/particle         photon       electron           nu_e          nu_mu         nu_tau         proton
    1.00000e-06    2.20775e+22    0.00000e+00    6.02303e+22    1.43576e+20    0.00000e+00    0.00000e+00
    1.05200e-06    2.17073e+22    0.00000e+00    5.90270e+22    1.83349e+20    0.00000e+00    0.00000e+00
    1.10700e-06    1.99532e+22    0.00000e+00    5.61999e+22    1.84282e+20    0.00000e+00    0.00000e+00
    1.16400e-06    1.96303e+22    0.00000e+00    5.47675e+22    2.34228e+20    0.00000e+00    0.00000e+00
    1.22500e-06    1.80724e+22    0.00000e+00    5.15437e+22    2.37812e+20    0.00000e+00    0.00000e+00
    1.28900e-06    1.78538e+22    0.00000e+00    5.01215e+22    2.89120e+20    0.00000e+00    0.00000e+00
    1.35600e-06    1.63642e+22    0.00000e+00    4.65888e+22    2.85331e+20    0.00000e+00    0.00000e+00
    1.42700e-06    1.62030e+22    0.00000e+00    4.48998e+22    3.71906e+20    0.00000e+00    0.00000e+00
    1.50100e-06    1.48465e+22    0.00000e+00    4.14161e+22    3.68234e+20    0.00000e+00    0.00000e+00
    1.57900e-06    1.46970e+22    0.00000e+00    3.95783e+22    4.43340e+20    0.00000e+00    0.00000e+00
    1.66100e-06    1.35827e+22    0.00000e+00    3.62666e+22    4.66885e+20    0.00000e+00    0.00000e+00
    1.74800e-06    1.33305e+22    0.00000e+00    3.42446e+22    5.39176e+20    0.00000e+00    0.00000e+00
    1.83900e-06    1.24181e+22    0.00000e+00    3.14307e+22    6.04439e+20    0.00000e+00    0.00000e+00
    1.93500e-06    1.20902e+22    0.00000e+00    2.91300e+22    6.25824e+20    0.00000e+00    0.00000e+00
    2.03500e-06    1.13565e+22    0.00000e+00    2.67793e+22    7.30242e+20    0.00000e+00    0.00000e+00
    2.14100e-06    1.09745e+22    0.00000e+00    2.44390e+22    7.68653e+20    0.00000e+00    0.00000e+00
    2.25300e-06    1.04497e+22    0.00000e+00    2.24482e+22    8.60777e+20    0.00000e+00    0.00000e+00
    2.37000e-06    1.00097e+22    0.00000e+00    2.03122e+22    9.24270e+20    0.00000e+00    0.00000e+00
    2.49300e-06    9.56396e+21    0.00000e+00    1.86317e+22    1.02200e+21    0.00000e+00    0.00000e+00
    2.62300e-06    9.05397e+21    0.00000e+00    1.68174e+22    1.10126e+21    0.00000e+00    0.00000e+00
    2.76000e-06    8.70314e+21    0.00000e+00    1.53219e+22    1.21627e+21    0.00000e+00    0.00000e+00
    2.90400e-06    8.21922e+21    0.00000e+00    1.37673e+22    1.34674e+21    0.00000e+00    0.00000e+00
    3.05500e-06    7.90355e+21    0.00000e+00    1.25423e+22    1.42269e+21    0.00000e+00    0.00000e+00
    3.21400e-06    7.44900e+21    0.00000e+00    1.12806e+22    1.58744e+21    0.00000e+00    0.00000e+00
    3.38100e-06    7.14985e+21    0.00000e+00    1.02461e+22    1.69030e+21    0.00000e+00    0.00000e+00
    3.55700e-06    6.73413e+21    0.00000e+00    9.27654e+21    1.84361e+21    0.00000e+00    0.00000e+00
    3.74200e-06    6.48847e+21    0.00000e+00    8.41583e+21    2.00150e+21    0.00000e+00    0.00000e+00
    3.93700e-06    6.10304e+21    0.00000e+00    7.72975e+21    2.15942e+21    0.00000e+00    0.00000e+00
    4.14200e-06    5.90509e+21    0.00000e+00    7.01165e+21    2.33872e+21    0.00000e+00    0.00000e+00
    4.35800e-06    5.54588e+21    0.00000e+00    6.59430e+21    2.51149e+21    0.00000e+00    0.00000e+00
    4.58500e-06    5.39944e+21    0.00000e+00    5.98192e+21    2.69166e+21    0.00000e+00    0.00000e+00
    4.82400e-06    5.02077e+21    0.00000e+00    5.77172e+21    2.89571e+21    0.00000e+00    0.00000e+00
    5.07500e-06    4.93660e+21    0.00000e+00    5.27643e+21    3.15124e+21    0.00000e+00    0.00000e+00
    5.33900e-06    4.62184e+21    0.00000e+00    5.17520e+21    3.34518e+21    0.00000e+00    0.00000e+00
    5.61700e-06    4.50004e+21    0.00000e+00    4.84420e+21    3.60957e+21    0.00000e+00    0.00000e+00
    5.90900e-06    4.25524e+21    0.00000e+00    4.79814e+21    3.80170e+21    0.00000e+00    0.00000e+00
    6.21700e-06    4.14267e+21    0.00000e+00    4.58277e+21    4.12262e+21    0.00000e+00    0.00000e+00
    6.54100e-06    3.91154e+21    0.00000e+00    4.59714e+21    4.30996e+21    0.00000e+00    0.00000e+00
    6.88100e-06    3.84771e+21    0.00000e+00    4.48795e+21    4.66074e+21    0.00000e+00    0.00000e+00
    7.24000e-06    3.65850e+21    0.00000e+00    4.54837e+21    4.86780e+21    0.00000e+00    0.00000e+00
    7.61700e-06    3.57668e+21    0.00000e+00    4.54618e+21    5.22219e+21    0.00000e+00    0.00000e+00
    8.01300e-06    3.42512e+21    0.00000e+00    4.59049e+21    5.49526e+21    0.00000e+00    0.00000e+00
    8.43000e-06    3.34057e+21    0.00000e+00    4.70125e+21    5.78932e+21    0.00000e+00    0.00000e+00
    8.86900e-06    3.25511e+21    0.00000e+00    4.71547e+21    6.10466e+21    0.00000e+00    0.00000e+00
    9.33100e-06    3.14708e+21    0.00000e+00    4.90483e+21    6.41786e+21    0.00000e+00    0.00000e+00
    9.81700e-06    3.10303e+21    0.00000e+00    4.93588e+21    6.75024e+21    0.00000e+00    0.00000e+00
    1.03300e-05    2.99840e+21    0.00000e+00    5.15248e+21    7.02253e+21    0.00000e+00    0.00000e+00
    1.08700e-05    2.95543e+21    0.00000e+00    5.23002e+21    7.39034e+21    0.00000e+00    0.00000e+00
    1.14300e-05    2.87891e+21    0.00000e+00    5.45691e+21    7.70825e+21    0.00000e+00    0.00000e+00
    1.20300e-05    2.85340e+21    0.00000e+00    5.55297e+21    8.04920e+21    0.00000e+00    0.00000e+00
    1.26500e-05    2.79096e+21    0.00000e+00    5.74996e+21    8.35551e+21    0.00000e+00    0.00000e+00
    1.33100e-05    2.78304e+21    0.00000e+00    5.89040e+21    8.71582e+21    0.00000e+00    0.00000e+00
    1.40100e-05    2.74486e+21    0.00000e+00    6.07008e+21    9.03448e+21    0.00000e+00    0.00000e+00
