Hawking secondary spectra for each particle type.
energy/particle         photon       electron           nu_e          nu_mu         nu_tau         proton
    1.00000e-06    2.48717e+23    0.00000e+00    1.68909e+23    2.24154e+19    0.00000e+00    0.00000e+00
    1.05200e-06    2.34405e+23    0.00000e+00    1.69126e+23    3.10331e+19    0.00000e+00    0.00000e+00
    1.10700e-06    2.24961e+23    0.00000e+00    1.81910e+23    3.49244e+19    0.00000e+00    0.00000e+00
    1.16400e-06    2.12407e+23    0.00000e+00    1.83367e+23    4.08168e+19    0.00000e+00    0.00000e+00
    1.22500e-06    2.04078e+23    0.00000e+00    1.95128e+23    4.86137e+19    0.00000e+00    0.00000e+00
    1.28900e-06    1.91552e+23    0.00000e+00    1.96149e+23    5.47160e+19    0.00000e+00    0.00000e+00
    1.35600e-06    1.85747e+23    0.00000e+00    2.05780e+23    6.74171e+19    0.00000e+00    0.00000e+00
    1.42700e-06    1.74455e+23    0.00000e+00    2.07157e+23    7.04536e+19    0.00000e+00    0.00000e+00
    1.50100e-06    1.68386e+23    0.00000e+00    2.17204e+23    9.71193e+19    0.00000e+00    0.00000e+00
    1.57900e-06    1.58740e+23    0.00000e+00    2.17385e+23    9.74601e+19    0.00000e+00    0.00000e+00
    1.66100e-06    1.52831e+23    0.00000e+00    2.25052e+23    1.30770e+20    0.00000e+00    0.00000e+00
    1.74800e-06    1.43858e+23    0.00000e+00    2.25147e+23    1.31303e+20    0.00000e+00    0.00000e+00
    1.83900e-06    1.38272e+23    0.00000e+00    2.31106e+23    1.76302e+20    0.00000e+00    0.00000e+00
    1.93500e-06    1.29219e+23    0.00000e+00    2.31300e+23    1.74341e+20    0.00000e+00    0.00000e+00
    2.03500e-06    1.25263e+23    0.00000e+00    2.34866e+23    2.41973e+20    0.00000e+00    0.00000e+00
    2.14100e-06    1.16981e+23    0.00000e+00    2.32771e+23    2.38378e+20    0.00000e+00    0.00000e+00
    2.25300e-06    1.12879e+23    0.00000e+00    2.35850e+23    2.76817e+20    0.00000e+00    0.00000e+00
    2.37000e-06    1.06131e+23    0.00000e+00    2.32047e+23    3.07733e+20    0.00000e+00    0.00000e+00
    2.49300e-06    1.02277e+23    0.00000e+00    2.33135e+23    3.97452e+20    0.00000e+00    0.00000e+00
    2.62300e-06    9.61263e+22    0.00000e+00    2.28644e+23    4.43626e+20    0.00000e+00    0.00000e+00
    2.76000e-06    9.21892e+22    0.00000e+00    2.26757e+23    4.91975e+20    0.00000e+00    0.00000e+00
    2.90400e-06    8.78494e+22    0.00000e+00    2.21585e+23    5.64627e+20    0.00000e+00    0.00000e+00
    3.05500e-06    8.26637e+22    0.00000e+00    2.16403e+23    6.40046e+20    0.00000e+00    0.00000e+00
    3.21400e-06    8.07057e+22    0.00000e+00    2.11349e+23    7.20925e+20    0.00000e+00    0.00000e+00
    3.38100e-06    7.48592e+22    0.00000e+00    2.03535e+23    7.74418e+20    0.00000e+00    0.00000e+00
    3.55700e-06    7.35256e+22    0.00000e+00    1.99002e+23    9.51667e+20    0.00000e+00    0.00000e+00
    3.74200e-06    6.76226e+22    0.00000e+00    1.89059e+23    9.74437e+20    0.00000e+00    0.00000e+00
    3.93700e-06    6.65056e+22    0.00000e+00    1.83837e+23    1.17120e+21    0.00000e+00    0.00000e+00
    4.14200e-06    6.12628e+22    0.00000e+00    1.72615e+23    1.22266e+21    0.00000e+00    0.00000e+00
    4.35800e-06    6.04355e+22    0.00000e+00    1.67454e+23    1.42233e+21    0.00000e+00    0.00000e+00
    4.58500e-06    5.55088e+22    0.00000e+00    1.55443e+23    1.47257e+21    0.00000e+00    0.00000e+00
    4.82400e-06    5.48204e+22    0.00000e+00    1.49442e+23    1.78541e+21    0.00000e+00    0.00000e+00
    5.07500e-06    5.03400e+22    0.00000e+00    1.37793e+23    1.83294e+21    0.00000e+00    0.00000e+00
    5.33900e-06    4.97069e+22    0.00000e+00    1.31319e+23    2.12204e+21    0.00000e+00    0.00000e+00
