Hawking primary spectra for each particle types.
energy/particle         photon         gluons          higgs            W+-             Z0      neutrinos       electron           muon            tau             up           down          charm        strange            top         bottom       graviton
    7.10000e-05    3.15743e+13    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    2.89433e+17    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    9.21227e+05
    7.91112e-05    4.33293e+13    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    3.56685e+17    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.58802e+06
    8.81491e-05    5.94605e+13    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    4.39563e+17    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    2.73746e+06
    9.82196e-05    8.15974e+13    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    5.41699e+17    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    4.71887e+06
    1.09440e-04    1.11976e+14    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    6.67567e+17    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    8.13446e+06
    1.21943e-04    1.53664e+14    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    8.22682e+17    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.40223e+07
    1.35874e-04    2.10872e+14    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.01384e+18    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    2.41718e+07
    1.51397e-04    2.89379e+14    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.24941e+18    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    4.16678e+07
    1.68693e-04    3.97113e+14    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.53972e+18    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    7.18275e+07
    1.87965e-04    5.44957e+14    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.89749e+18    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.23817e+08
    2.09439e-04    7.47841e+14    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    2.33839e+18    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    2.13438e+08
    2.33366e-04    1.02626e+15    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    2.88173e+18    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    3.67928e+08
    2.60026e-04    1.40833e+15    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    3.55132e+18    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    6.34239e+08
    2.89732e-04    1.93265e+15    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    4.37650e+18    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.09331e+09
    3.22832e-04    2.65216e+15    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    5.39342e+18    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.88466e+09
    3.59713e-04    3.63955e+15    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    6.64662e+18    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    3.24881e+09
    4.00808e-04    4.99453e+15    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    8.19102e+18    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    5.60035e+09
    4.46597e-04    6.85398e+15    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.00943e+19    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    9.65396e+09
    4.97618e-04    9.40568e+15    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.24398e+19    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.66416e+10
    5.54467e-04    1.29074e+16    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.53302e+19    1.02202e+19    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    2.86871e+10
    6.17811e-04    1.77127e+16    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.88923e+19    1.25949e+19    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    4.94512e+10
    6.88392e-04    2.43071e+16    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    2.32821e+19    1.55214e+19    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    8.52448e+10
    7.67035e-04    3.33565e+16    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    2.86919e+19    1.91279e+19    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.46946e+11
    8.54664e-04    4.57750e+16    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    3.53587e+19    2.35725e+19    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    2.53308e+11
    9.52303e-04    6.15933e+16    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    4.32218e+19    2.88146e+19    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    3.88998e+11
    1.06110e-03    8.86695e+16    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    5.34552e+19    3.56368e+19    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    6.82735e+11
    1.18232e-03    1.22576e+17    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    6.60899e+19    4.40599e+19    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.29313e+12
    1.31739e-03    1.63229e+17    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    8.16781e+19    5.44521e+19    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    2.50656e+12
    1.46789e-03    2.17374e+17    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.00887e+20    6.72577e+19    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    4.48976e+12
    1.63559e-03    3.00187e+17    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.24551e+20    8.30339e+19    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    7.15067e+12
    1.82244e-03    4.24474e+17    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.53632e+20    1.02421e+20    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.13236e+13
    2.03065e-03    5.85094e+17    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.89416e+20    1.26277e+20    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.99420e+13
    2.26263e-03    7.85665e+17    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    2.33288e+20    1.55526e+20    0.00000e+00    0.00000e+00    4.66577e+20    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    3.59433e+13
    2.52112e-03    1.08684e+18    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    2.87163e+20    1.91442e+20    0.00000e+00    0.00000e+00    5.74327e+20    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    5.87755e+13
    2.80914e-03    1.50224e+18    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    3.53002e+20    2.35335e+20    0.00000e+00    0.00000e+00    7.06005e+20    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    9.88299e+13
    3.13007e-03    2.03215e+18    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    4.33620e+20    2.89080e+20    0.00000e+00    0.00000e+00    8.67240e+20    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.74005e+14
    3.48765e-03    2.80922e+18    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    5.31835e+20    3.54557e+20    0.00000e+00    0.00000e+00    1.06367e+21    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    2.85495e+14
    3.88609e-03    3.80859e+18    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    6.51560e+20    4.34373e+20    0.00000e+00    0.00000e+00    1.30312e+21    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    4.97719e+14
    4.33005e-03    5.23218e+18    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    7.96888e+20    5.31258e+20    0.00000e+00    0.00000e+00    1.59378e+21    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    8.25385e+14
    4.82473e-03    7.10076e+18    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    9.73096e+20    6.48731e+20    0.00000e+00    0.00000e+00    1.94619e+21    1.94619e+21    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.41318e+15
    5.37592e-03    9.66793e+18    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.18599e+21    7.90663e+20    0.00000e+00    0.00000e+00    2.37199e+21    2.37199e+21    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    2.38778e+15
    5.99008e-03    1.31671e+19    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.44248e+21    9.61651e+20    0.00000e+00    0.00000e+00    2.88495e+21    2.88495e+21    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    3.99577e+15
    6.67441e-03    1.78660e+19    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.75055e+21    1.16703e+21    0.00000e+00    0.00000e+00    3.50110e+21    3.50110e+21    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    6.72067e+15
    7.43691e-03    2.41870e+19    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    2.11895e+21    1.41264e+21    0.00000e+00    0.00000e+00    4.23791e+21    4.23791e+21    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.12720e+16
    8.28652e-03    3.26832e+19    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    2.55834e+21    1.70556e+21    0.00000e+00    0.00000e+00    5.11669e+21    5.11669e+21    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.89251e+16
    9.23320e-03    4.40411e+19    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    3.07949e+21    2.05299e+21    0.00000e+00    0.00000e+00    6.15897e+21    6.15897e+21    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    3.16092e+16
    1.02880e-02    5.92851e+19    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    3.69612e+21    2.46408e+21    0.00000e+00    0.00000e+00    7.39223e+21    7.39223e+21    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    5.27399e+16
    1.14634e-02    7.95730e+19    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    4.42117e+21    2.94745e+21    0.00000e+00    0.00000e+00    8.84234e+21    8.84234e+21    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    8.73237e+16
    1.27730e-02    1.06550e+20    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    5.27155e+21    3.51437e+21    0.00000e+00    0.00000e+00    1.05431e+22    1.05431e+22    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.45024e+17
    1.42322e-02    1.42197e+20    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    6.26171e+21    4.17448e+21    0.00000e+00    0.00000e+00    1.25234e+22    1.25234e+22    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    2.39008e+17
    1.58581e-02    1.89303e+20    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    7.40720e+21    4.93813e+21    0.00000e+00    0.00000e+00    1.48144e+22    1.48144e+22    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    3.93609e+17
    1.76698e-02    2.51074e+20    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    8.71366e+21    5.80910e+21    0.00000e+00    0.00000e+00    1.74273e+22    1.74273e+22    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    6.44022e+17
    1.96884e-02    3.31737e+20    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.01647e+22    6.77649e+21    0.00000e+00    0.00000e+00    2.03295e+22    2.03295e+22    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.05202e+18
    2.19377e-02    4.36253e+20    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.16887e+22    7.79246e+21    0.00000e+00    0.00000e+00    2.33774e+22    2.33774e+22    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.70849e+18
    2.44439e-02    5.69970e+20    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.30967e+22    8.73113e+21    0.00000e+00    0.00000e+00    2.61934e+22    2.61934e+22    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    2.76544e+18
    2.72365e-02    7.37722e+20    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.40138e+22    9.34254e+21    0.00000e+00    0.00000e+00    2.80276e+22    2.80276e+22    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    4.45373e+18
