Hawking secondary spectra for each particle type.
energy/particle         photon       electron           nu_e          nu_mu         nu_tau         proton
    1.00000e-06    8.15384e+21    0.00000e+00    2.24308e+22    1.98659e+20    0.00000e+00    0.00000e+00
    1.05200e-06    7.58627e+21    0.00000e+00    2.06601e+22    2.10804e+20    0.00000e+00    0.00000e+00
    1.10700e-06    7.43324e+21    0.00000e+00    1.96209e+22    2.48418e+20    0.00000e+00    0.00000e+00
    1.16400e-06    6.95812e+21    0.00000e+00    1.78928e+22    2.56693e+20    0.00000e+00    0.00000e+00
    1.22500e-06    6.79950e+21    0.00000e+00    1.68111e+22    3.12330e+20    0.00000e+00    0.00000e+00
    1.28900e-06    6.28059e+21    0.00000e+00    1.52863e+22    3.16947e+20    0.00000e+00    0.00000e+00
    1.35600e-06    6.23073e+21    0.00000e+00    1.42104e+22    3.62014e+20    0.00000e+00    0.00000e+00
    1.42700e-06    5.79389e+21    0.00000e+00    1.27927e+22    3.86215e+20    0.00000e+00    0.00000e+00
    1.50100e-06    5.66055e+21    0.00000e+00    1.18306e+22    4.32104e+20    0.00000e+00    0.00000e+00
    1.57900e-06    5.30649e+21    0.00000e+00    1.07128e+22    4.93248e+20    0.00000e+00    0.00000e+00
    1.66100e-06    5.13609e+21    0.00000e+00    9.71114e+21    4.97655e+20    0.00000e+00    0.00000e+00
    1.74800e-06    4.81220e+21    0.00000e+00    8.90035e+21    5.78618e+20    0.00000e+00    0.00000e+00
    1.83900e-06    4.66221e+21    0.00000e+00    7.90371e+21    6.12486e+20    0.00000e+00    0.00000e+00
    1.93500e-06    4.40436e+21    0.00000e+00    7.21237e+21    6.78976e+20    0.00000e+00    0.00000e+00
    2.03500e-06    4.23525e+21    0.00000e+00    6.42170e+21    7.33005e+20    0.00000e+00    0.00000e+00
    2.14100e-06    4.00877e+21    0.00000e+00    5.88255e+21    8.01341e+20    0.00000e+00    0.00000e+00
    2.25300e-06    3.79105e+21    0.00000e+00    5.30262e+21    8.53439e+20    0.00000e+00    0.00000e+00
    2.37000e-06    3.64067e+21    0.00000e+00    4.79253e+21    9.34632e+20    0.00000e+00    0.00000e+00
    2.49300e-06    3.43784e+21    0.00000e+00    4.34396e+21    1.03726e+21    0.00000e+00    0.00000e+00
    2.62300e-06    3.28420e+21    0.00000e+00    3.97558e+21    1.08011e+21    0.00000e+00    0.00000e+00
    2.76000e-06    3.12154e+21    0.00000e+00    3.63631e+21    1.20626e+21    0.00000e+00    0.00000e+00
    2.90400e-06    2.96652e+21    0.00000e+00    3.37665e+21    1.26134e+21    0.00000e+00    0.00000e+00
    3.05500e-06    2.84176e+21    0.00000e+00    3.10286e+21    1.36412e+21    0.00000e+00    0.00000e+00
    3.21400e-06    2.69765e+21    0.00000e+00    2.91710e+21    1.49632e+21    0.00000e+00    0.00000e+00
    3.38100e-06    2.57946e+21    0.00000e+00    2.77352e+21    1.60406e+21    0.00000e+00    0.00000e+00
    3.55700e-06    2.49706e+21    0.00000e+00    2.59828e+21    1.72860e+21    0.00000e+00    0.00000e+00
    3.74200e-06    2.35194e+21    0.00000e+00    2.56381e+21    1.84301e+21    0.00000e+00    0.00000e+00
    3.93700e-06    2.31855e+21    0.00000e+00    2.39742e+21    1.96174e+21    0.00000e+00    0.00000e+00
    4.14200e-06    2.13428e+21    0.00000e+00    2.44121e+21    2.10860e+21    0.00000e+00    0.00000e+00
    4.35800e-06    2.13369e+21    0.00000e+00    2.31650e+21    2.26098e+21    0.00000e+00    0.00000e+00
    4.58500e-06    2.00941e+21    0.00000e+00    2.39623e+21    2.40105e+21    0.00000e+00    0.00000e+00
    4.82400e-06    1.95233e+21    0.00000e+00    2.33567e+21    2.55827e+21    0.00000e+00    0.00000e+00
    5.07500e-06    1.88135e+21    0.00000e+00    2.38864e+21    2.69415e+21    0.00000e+00    0.00000e+00
    5.33900e-06    1.82626e+21    0.00000e+00    2.37242e+21    2.89634e+21    0.00000e+00    0.00000e+00
    5.61700e-06    1.74396e+21    0.00000e+00    2.44529e+21    2.99046e+21    0.00000e+00    0.00000e+00
    5.90900e-06    1.73445e+21    0.00000e+00    2.46881e+21    3.19930e+21    0.00000e+00    0.00000e+00
    6.21700e-06    1.66437e+21    0.00000e+00    2.56232e+21    3.33747e+21    0.00000e+00    0.00000e+00
    6.54100e-06    1.64036e+21    0.00000e+00    2.61768e+21    3.52998e+21    0.00000e+00    0.00000e+00
    6.88100e-06    1.57612e+21    0.00000e+00    2.68253e+21    3.71843e+21    0.00000e+00    0.00000e+00
    7.24000e-06    1.54896e+21    0.00000e+00    2.81359e+21    3.86402e+21    0.00000e+00    0.00000e+00
    7.61700e-06    1.53234e+21    0.00000e+00    2.82977e+21    4.06415e+21    0.00000e+00    0.00000e+00
    8.01300e-06    1.50121e+21    0.00000e+00    2.96842e+21    4.22176e+21    0.00000e+00    0.00000e+00
    8.43000e-06    1.48598e+21    0.00000e+00    3.00828e+21    4.43263e+21    0.00000e+00    0.00000e+00
    8.86900e-06    1.47060e+21    0.00000e+00    3.12304e+21    4.55946e+21    0.00000e+00    0.00000e+00
    9.33100e-06    1.44705e+21    0.00000e+00    3.20539e+21    4.77193e+21    0.00000e+00    0.00000e+00
    9.81700e-06    1.45277e+21    0.00000e+00    3.29783e+21    4.93099e+21    0.00000e+00    0.00000e+00
    1.03300e-05    1.43291e+21    0.00000e+00    3.39327e+21    5.12508e+21    0.00000e+00    0.00000e+00
    1.08700e-05    1.44139e+21    0.00000e+00    3.45369e+21    5.27852e+21    0.00000e+00    0.00000e+00
    1.14300e-05    1.43863e+21    0.00000e+00    3.54920e+21    5.47319e+21    0.00000e+00    0.00000e+00
    1.20300e-05    1.44653e+21    0.00000e+00    3.61246e+21    5.63431e+21    0.00000e+00    0.00000e+00
    1.26500e-05    1.46278e+21    0.00000e+00    3.67560e+21    5.76121e+21    0.00000e+00    0.00000e+00
    1.33100e-05    1.44397e+21    0.00000e+00    3.77451e+21    5.97027e+21    9.66206e+16    0.00000e+00
    1.40100e-05    1.50622e+21    0.00000e+00    3.82441e+21    6.08118e+21    1.06713e+17    0.00000e+00
    1.47300e-05    1.48075e+21    0.00000e+00    3.90124e+21    6.28269e+21    1.17468e+17    0.00000e+00
    1.55000e-05    1.52213e+21    0.00000e+00    3.96401e+21    6.37734e+21    1.29746e+17    0.00000e+00
    1.63100e-05    1.52582e+21    0.00000e+00    4.01171e+21    6.55397e+21    1.42949e+17    0.00000e+00
    1.71600e-05    1.56158e+21    0.00000e+00    4.06471e+21    6.66418e+21    1.57940e+17    0.00000e+00
    1.80500e-05    1.58913e+21    0.00000e+00    4.10861e+21    6.79976e+21    1.73759e+17    0.00000e+00
    1.89900e-05    1.60993e+21    0.00000e+00    4.15863e+21    6.90753e+21    1.92095e+17    0.00000e+00
    1.99800e-05    1.64444e+21    0.00000e+00    4.19713e+21    7.03767e+21    2.11405e+17    0.00000e+00
    2.10200e-05    1.68271e+21    0.00000e+00    4.23071e+21    7.08752e+21    2.33721e+17    0.00000e+00
    2.21200e-05    1.71235e+21    0.00000e+00    4.26419e+21    7.21906e+21    2.57451e+17    0.00000e+00
    2.32700e-05    1.74797e+21    0.00000e+00    4.26279e+21    7.26031e+21    2.84415e+17    0.00000e+00
    2.44800e-05    1.77359e+21    0.00000e+00    4.29989e+21    7.39568e+21    3.13286e+17    0.00000e+00
    2.57500e-05    1.82321e+21    0.00000e+00    4.29839e+21    7.40345e+21    3.45793e+17    0.00000e+00
    2.70900e-05    1.85959e+21    0.00000e+00    4.31093e+21    7.47868e+21    3.81155e+17    0.00000e+00
    2.85000e-05    1.88721e+21    0.00000e+00    4.29809e+21    7.50652e+21    4.20544e+17    0.00000e+00
    2.99900e-05    1.93313e+21    0.00000e+00    4.29203e+21    7.52037e+21    4.64032e+17    0.00000e+00
    3.15500e-05    1.95985e+21    0.00000e+00    4.28126e+21    7.56753e+21    5.11613e+17    0.00000e+00
    3.31900e-05    2.00545e+21    0.00000e+00    4.26798e+21    7.54790e+21    5.64554e+17    0.00000e+00
    3.49200e-05    2.03171e+21    0.00000e+00    4.24962e+21    7.57062e+21    6.22123e+17    0.00000e+00
    3.67400e-05    2.07158e+21    0.00000e+00    4.21644e+21    7.54356e+21    6.87102e+17    0.00000e+00
