#mass,coupling
1000000000000000.0,0.0008453109090804068
1155533641800480.5,0.0009540954763499945
1349586179614804.0,0.0011513953993264468
1496917774786925.0,0.0013894954943731372
1609551695551686.2,0.0016768329368110067
1696250609138108.8,0.0020235896477251557
1763441781336899.5,0.0024420530945486497
1815869512644168.5,0.0029470517025518097
1857057598884234.8,0.0035564803062231283
1889639026972186.5,0.004291934260128779
1915592502505175.8,0.005179474679231213
1936413267908595.8,0.006250551925273969
1953237300600976.5,0.007543120063354615
1966932207416953.8,0.009102981779915217
1978164147875975.0,0.010985411419875584
1987447368738553.5,0.013257113655901081
1995181030736777.5,0.015998587196060572
2000000000000000.0,0.01831292563257894
2143481372532574.8,0.019306977288832496
2579514572755773.5,0.023299518105153714
2907917109543431.0,0.028117686979742276
3156634880061775.5,0.033932217718953266
3346012282909515.0,0.040949150623804234
3490945173320804.0,0.04941713361323834
3602403033111014.0,0.05963623316594643
3688510628160360.0,0.07196856730011514
3755320597300985.0,0.0868511373751352
3807368074652537.5,0.10481131341546852
3848070770295343.5,0.12648552168552957
3880018911633254.5,0.15264179671752318
3905186326168834.0,0.18420699693267145
3925084842118728.0,0.22229964825261933
3940877815479425.5,0.2682695795279725
3953464096461310.5,0.32374575428176433
3963540546179643.0,0.3906939937054613
3971648920290460.5,0.47148663634573895
3978211290328174.0,0.5689866029018293
3983556996668553.5,0.6866488450042998
3987943290939559.0,0.8286427728546842
3991571235210333.0,1.0
