Hawking secondary spectra for each particle type.
energy/particle         photon       electron           nu_e          nu_mu         nu_tau         proton
    1.00000e-06    2.76585e+22    0.00000e+00    7.09516e+22    1.33830e+20    0.00000e+00    0.00000e+00
    1.05200e-06    2.67562e+22    0.00000e+00    7.08311e+22    1.62295e+20    0.00000e+00    0.00000e+00
    1.10700e-06    2.50768e+22    0.00000e+00    6.73864e+22    1.73317e+20    0.00000e+00    0.00000e+00
    1.16400e-06    2.44206e+22    0.00000e+00    6.64663e+22    2.27053e+20    0.00000e+00    0.00000e+00
    1.22500e-06    2.27376e+22    0.00000e+00    6.34796e+22    2.42898e+20    0.00000e+00    0.00000e+00
    1.28900e-06    2.19543e+22    0.00000e+00    6.12623e+22    2.71583e+20    0.00000e+00    0.00000e+00
    1.35600e-06    2.08331e+22    0.00000e+00    5.84446e+22    3.01976e+20    0.00000e+00    0.00000e+00
    1.42700e-06    1.96616e+22    0.00000e+00    5.53874e+22    3.44610e+20    0.00000e+00    0.00000e+00
    1.50100e-06    1.91851e+22    0.00000e+00    5.29725e+22    3.78627e+20    0.00000e+00    0.00000e+00
    1.57900e-06    1.78713e+22    0.00000e+00    4.95595e+22    4.12802e+20    0.00000e+00    0.00000e+00
    1.66100e-06    1.74360e+22    0.00000e+00    4.72628e+22    4.91363e+20    0.00000e+00    0.00000e+00
    1.74800e-06    1.62161e+22    0.00000e+00    4.38061e+22    5.12596e+20    0.00000e+00    0.00000e+00
    1.83900e-06    1.57503e+22    0.00000e+00    4.13899e+22    5.99209e+20    0.00000e+00    0.00000e+00
    1.93500e-06    1.47013e+22    0.00000e+00    3.80074e+22    6.36620e+20    0.00000e+00    0.00000e+00
    2.03500e-06    1.43700e+22    0.00000e+00    3.58296e+22    7.16096e+20    0.00000e+00    0.00000e+00
    2.14100e-06    1.35085e+22    0.00000e+00    3.25044e+22    7.55311e+20    0.00000e+00    0.00000e+00
    2.25300e-06    1.30939e+22    0.00000e+00    3.03370e+22    8.81325e+20    0.00000e+00    0.00000e+00
    2.37000e-06    1.21740e+22    0.00000e+00    2.75551e+22    9.22352e+20    0.00000e+00    0.00000e+00
    2.49300e-06    1.19794e+22    0.00000e+00    2.54156e+22    1.03996e+21    0.00000e+00    0.00000e+00
    2.62300e-06    1.11864e+22    0.00000e+00    2.29768e+22    1.12052e+21    0.00000e+00    0.00000e+00
    2.76000e-06    1.08311e+22    0.00000e+00    2.10491e+22    1.22858e+21    0.00000e+00    0.00000e+00
    2.90400e-06    1.02104e+22    0.00000e+00    1.91533e+22    1.37541e+21    0.00000e+00    0.00000e+00
    3.05500e-06    9.83185e+21    0.00000e+00    1.72373e+22    1.42314e+21    0.00000e+00    0.00000e+00
    3.21400e-06    9.24175e+21    0.00000e+00    1.58784e+22    1.61009e+21    0.00000e+00    0.00000e+00
    3.38100e-06    8.93555e+21    0.00000e+00    1.41023e+22    1.73294e+21    0.00000e+00    0.00000e+00
    3.55700e-06    8.45618e+21    0.00000e+00    1.29653e+22    1.86560e+21    0.00000e+00    0.00000e+00
    3.74200e-06    8.11673e+21    0.00000e+00    1.15744e+22    2.05481e+21    0.00000e+00    0.00000e+00
    3.93700e-06    7.70226e+21    0.00000e+00    1.06676e+22    2.18257e+21    0.00000e+00    0.00000e+00
    4.14200e-06    7.30030e+21    0.00000e+00    9.67870e+21    2.39733e+21    0.00000e+00    0.00000e+00
    4.35800e-06    6.99435e+21    0.00000e+00    8.88025e+21    2.55291e+21    0.00000e+00    0.00000e+00
    4.58500e-06    6.66066e+21    0.00000e+00    8.10442e+21    2.83947e+21    0.00000e+00    0.00000e+00
    4.82400e-06    6.34213e+21    0.00000e+00    7.52162e+21    2.95706e+21    0.00000e+00    0.00000e+00
    5.07500e-06    6.05373e+21    0.00000e+00    6.97962e+21    3.26755e+21    0.00000e+00    0.00000e+00
    5.33900e-06    5.76151e+21    0.00000e+00    6.57079e+21    3.43377e+21    0.00000e+00    0.00000e+00
    5.61700e-06    5.55403e+21    0.00000e+00    6.15490e+21    3.68704e+21    0.00000e+00    0.00000e+00
    5.90900e-06    5.28674e+21    0.00000e+00    5.87009e+21    3.97483e+21    0.00000e+00    0.00000e+00
    6.21700e-06    5.06421e+21    0.00000e+00    5.69405e+21    4.24298e+21    0.00000e+00    0.00000e+00
    6.54100e-06    4.91197e+21    0.00000e+00    5.43240e+21    4.53098e+21    0.00000e+00    0.00000e+00
    6.88100e-06    4.65569e+21    0.00000e+00    5.44183e+21    4.81309e+21    0.00000e+00    0.00000e+00
    7.24000e-06    4.57529e+21    0.00000e+00    5.21690e+21    5.09629e+21    0.00000e+00    0.00000e+00
    7.61700e-06    4.26584e+21    0.00000e+00    5.33724e+21    5.43524e+21    0.00000e+00    0.00000e+00
    8.01300e-06    4.24863e+21    0.00000e+00    5.18221e+21    5.77911e+21    0.00000e+00    0.00000e+00
    8.43000e-06    4.02349e+21    0.00000e+00    5.35333e+21    6.10055e+21    0.00000e+00    0.00000e+00
    8.86900e-06    3.92666e+21    0.00000e+00    5.32145e+21    6.43486e+21    0.00000e+00    0.00000e+00
    9.33100e-06    3.80076e+21    0.00000e+00    5.46162e+21    6.75074e+21    0.00000e+00    0.00000e+00
    9.81700e-06    3.72070e+21    0.00000e+00    5.47761e+21    7.16093e+21    0.00000e+00    0.00000e+00
    1.03300e-05    3.56316e+21    0.00000e+00    5.67570e+21    7.44733e+21    0.00000e+00    0.00000e+00
    1.08700e-05    3.55985e+21    0.00000e+00    5.76374e+21    7.86006e+21    0.00000e+00    0.00000e+00
    1.14300e-05    3.43612e+21    0.00000e+00    5.96884e+21    8.20451e+21    0.00000e+00    0.00000e+00
    1.20300e-05    3.40150e+21    0.00000e+00    6.11025e+21    8.57561e+21    0.00000e+00    0.00000e+00
    1.26500e-05    3.29675e+21    0.00000e+00    6.25280e+21    9.01535e+21    0.00000e+00    0.00000e+00
    1.33100e-05    3.26078e+21    0.00000e+00    6.49903e+21    9.28948e+21    0.00000e+00    0.00000e+00
    1.40100e-05    3.24045e+21    0.00000e+00    6.57312e+21    9.73722e+21    0.00000e+00    0.00000e+00
    1.47300e-05    3.18554e+21    0.00000e+00    6.83650e+21    1.00456e+22    0.00000e+00    0.00000e+00
    1.55000e-05    3.17815e+21    0.00000e+00    6.94485e+21    1.05039e+22    0.00000e+00    0.00000e+00
    1.63100e-05    3.15675e+21    0.00000e+00    7.16627e+21    1.07518e+22    0.00000e+00    0.00000e+00
    1.71600e-05    3.12502e+21    0.00000e+00    7.33546e+21    1.12224e+22    0.00000e+00    0.00000e+00
    1.80500e-05    3.15545e+21    0.00000e+00    7.51625e+21    1.15398e+22    0.00000e+00    0.00000e+00
    1.89900e-05    3.13247e+21    0.00000e+00    7.69679e+21    1.19404e+22    0.00000e+00    0.00000e+00
    1.99800e-05    3.15847e+21    0.00000e+00    7.81678e+21    1.22172e+22    0.00000e+00    0.00000e+00
    2.10200e-05    3.18080e+21    0.00000e+00    8.00179e+21    1.26406e+22    0.00000e+00    0.00000e+00
    2.21200e-05    3.20299e+21    0.00000e+00    8.13053e+21    1.29247e+22    0.00000e+00    0.00000e+00
    2.32700e-05    3.25792e+21    0.00000e+00    8.24073e+21    1.32074e+22    0.00000e+00    0.00000e+00
    2.44800e-05    3.24310e+21    0.00000e+00    8.42116e+21    1.35719e+22    1.03151e+17    0.00000e+00
    2.57500e-05    3.35381e+21    0.00000e+00    8.51619e+21    1.38242e+22    1.13819e+17    0.00000e+00
    2.70900e-05    3.34383e+21    0.00000e+00    8.64103e+21    1.41629e+22    1.25385e+17    0.00000e+00
    2.85000e-05    3.42635e+21    0.00000e+00    8.74152e+21    1.43767e+22    1.38484e+17    0.00000e+00
    2.99900e-05    3.45538e+21    0.00000e+00    8.81514e+21    1.46671e+22    1.52517e+17    0.00000e+00
    3.15500e-05    3.53628e+21    0.00000e+00    8.90383e+21    1.48736e+22    1.68546e+17    0.00000e+00
    3.31900e-05    3.60372e+21    0.00000e+00    8.97535e+21    1.51005e+22    1.85398e+17    0.00000e+00
    3.49200e-05    3.65968e+21    0.00000e+00    9.03939e+21    1.52667e+22    2.05046e+17    0.00000e+00
    3.67400e-05    3.73091e+21    0.00000e+00    9.09501e+21    1.55030e+22    2.25729e+17    0.00000e+00
    3.86500e-05    3.81206e+21    0.00000e+00    9.13766e+21    1.55745e+22    2.49430e+17    0.00000e+00
    4.06600e-05    3.88935e+21    0.00000e+00    9.17102e+21    1.57818e+22    2.74694e+17    0.00000e+00
    4.27800e-05    3.95306e+21    0.00000e+00    9.14307e+21    1.58273e+22    3.03419e+17    0.00000e+00
    4.50100e-05    4.02455e+21    0.00000e+00    9.18655e+21    1.60240e+22    3.34419e+17    0.00000e+00
    4.73500e-05    4.10264e+21    0.00000e+00    9.15247e+21    1.60080e+22    3.69042e+17    0.00000e+00
    4.98200e-05    4.19428e+21    0.00000e+00    9.14970e+21    1.60877e+22    4.07018e+17    0.00000e+00
    5.24100e-05    4.23409e+21    0.00000e+00    9.11068e+21    1.61076e+22    4.48850e+17    0.00000e+00
    5.51400e-05    4.33947e+21    0.00000e+00    9.06071e+21    1.60880e+22    4.95274e+17    0.00000e+00
    5.80100e-05    4.37110e+21    0.00000e+00    9.01044e+21    1.61124e+22    5.45857e+17    0.00000e+00
    6.10300e-05    4.47515e+21    0.00000e+00    8.95315e+21    1.60319e+22    6.02656e+17    0.00000e+00
    6.42100e-05    4.50781e+21    0.00000e+00    8.88806e+21    1.60038e+22    6.63804e+17    0.00000e+00
    6.75600e-05    4.59497e+21    0.00000e+00    8.78060e+21    1.59034e+22    7.33488e+17    0.00000e+00
    7.10700e-05    4.61711e+21    0.00000e+00    8.68232e+21    1.58019e+22    8.07104e+17    0.00000e+00
    7.47700e-05    4.69781e+21    0.00000e+00    8.58093e+21    1.56619e+22    8.92227e+17    0.00000e+00
    7.86700e-05    4.73181e+21    0.00000e+00    8.47517e+21    1.55364e+22    9.81952e+17    0.00000e+00
    8.27600e-05    4.76983e+21    0.00000e+00    8.30971e+21    1.53364e+22    1.08550e+18    0.00000e+00
    8.70700e-05    4.81666e+21    0.00000e+00    8.22150e+21    1.51955e+22    1.19517e+18    0.00000e+00
    9.16100e-05    4.83341e+21    0.00000e+00    8.04787e+21    1.49331e+22    1.32071e+18    0.00000e+00
    9.63800e-05    4.87754e+21    0.00000e+00    7.92778e+21    1.47634e+22    1.45494e+18    0.00000e+00
    1.01400e-04    4.86508e+21    0.00000e+00    7.73252e+21    1.44722e+22    1.60655e+18    0.00000e+00
    1.06700e-04    4.91354e+21    0.00000e+00    7.58585e+21    1.42552e+22    1.77151e+18    0.00000e+00
    1.12200e-04    4.87174e+21    0.00000e+00    7.39447e+21    1.39489e+22    1.95284e+18    0.00000e+00
    1.18100e-04    4.91257e+21    0.00000e+00    7.23238e+21    1.36799e+22    2.15595e+18    0.00000e+00
    1.24200e-04    4.87463e+21    0.00000e+00    7.04175e+21    1.33613e+22    2.37546e+18    0.00000e+00
    1.30700e-04    4.87439e+21    0.00000e+00    6.84465e+21    1.30576e+22    2.62294e+18    0.00000e+00
    1.37500e-04    4.84539e+21    0.00000e+00    6.65641e+21    1.27247e+22    2.88998e+18    0.00000e+00
    1.44700e-04    4.82135e+21    0.00000e+00    6.44650e+21    1.23802e+22    3.19317e+18    0.00000e+00
    1.52200e-04    4.77065e+21    0.00000e+00    6.25490e+21    1.20535e+22    3.51452e+18    0.00000e+00
    1.60100e-04    4.74918e+21    0.00000e+00    6.03779e+21    1.16622e+22    3.88246e+18    0.00000e+00
    1.68400e-04    4.67100e+21    0.00000e+00    5.83975e+21    1.13450e+22    4.26997e+18    0.00000e+00
