Hawking secondary spectra for each particle type.
energy/particle         photon       electron           nu_e          nu_mu         nu_tau         proton
    1.00000e-06    1.08849e+22    0.00000e+00    3.06965e+22    1.90439e+20    0.00000e+00    0.00000e+00
    1.05200e-06    1.02342e+22    0.00000e+00    2.88405e+22    2.03974e+20    0.00000e+00    0.00000e+00
    1.10700e-06    9.79367e+21    0.00000e+00    2.70603e+22    2.35702e+20    0.00000e+00    0.00000e+00
    1.16400e-06    9.43480e+21    0.00000e+00    2.54254e+22    2.59285e+20    0.00000e+00    0.00000e+00
    1.22500e-06    8.92788e+21    0.00000e+00    2.36123e+22    2.85590e+20    0.00000e+00    0.00000e+00
    1.28900e-06    8.62763e+21    0.00000e+00    2.21436e+22    3.28478e+20    0.00000e+00    0.00000e+00
    1.35600e-06    8.11506e+21    0.00000e+00    2.03294e+22    3.41704e+20    0.00000e+00    0.00000e+00
    1.42700e-06    7.83803e+21    0.00000e+00    1.89200e+22    3.98975e+20    0.00000e+00    0.00000e+00
    1.50100e-06    7.39033e+21    0.00000e+00    1.71727e+22    4.20274e+20    0.00000e+00    0.00000e+00
    1.57900e-06    7.19438e+21    0.00000e+00    1.59974e+22    4.72235e+20    0.00000e+00    0.00000e+00
    1.66100e-06    6.78784e+21    0.00000e+00    1.43581e+22    5.02014e+20    0.00000e+00    0.00000e+00
    1.74800e-06    6.56336e+21    0.00000e+00    1.32445e+22    5.77315e+20    0.00000e+00    0.00000e+00
    1.83900e-06    6.10238e+21    0.00000e+00    1.19446e+22    6.09614e+20    0.00000e+00    0.00000e+00
    1.93500e-06    5.98817e+21    0.00000e+00    1.08755e+22    6.82658e+20    0.00000e+00    0.00000e+00
    2.03500e-06    5.58371e+21    0.00000e+00    9.76319e+21    7.46132e+20    0.00000e+00    0.00000e+00
    2.14100e-06    5.39850e+21    0.00000e+00    8.85748e+21    8.00248e+20    0.00000e+00    0.00000e+00
    2.25300e-06    5.06327e+21    0.00000e+00    8.05544e+21    9.04955e+20    0.00000e+00    0.00000e+00
    2.37000e-06    4.89199e+21    0.00000e+00    7.17773e+21    9.26861e+20    0.00000e+00    0.00000e+00
    2.49300e-06    4.56757e+21    0.00000e+00    6.62670e+21    1.04382e+21    0.00000e+00    0.00000e+00
    2.62300e-06    4.42900e+21    0.00000e+00    5.86070e+21    1.11876e+21    0.00000e+00    0.00000e+00
    2.76000e-06    4.17264e+21    0.00000e+00    5.43092e+21    1.20805e+21    0.00000e+00    0.00000e+00
    2.90400e-06    4.02182e+21    0.00000e+00    4.85655e+21    1.32140e+21    0.00000e+00    0.00000e+00
    3.05500e-06    3.79267e+21    0.00000e+00    4.54188e+21    1.39931e+21    0.00000e+00    0.00000e+00
    3.21400e-06    3.62258e+21    0.00000e+00    4.14887e+21    1.54151e+21    0.00000e+00    0.00000e+00
    3.38100e-06    3.43638e+21    0.00000e+00    3.88687e+21    1.63720e+21    0.00000e+00    0.00000e+00
    3.55700e-06    3.31808e+21    0.00000e+00    3.57718e+21    1.83174e+21    0.00000e+00    0.00000e+00
    3.74200e-06    3.13099e+21    0.00000e+00    3.41999e+21    1.89802e+21    0.00000e+00    0.00000e+00
    3.93700e-06    3.02218e+21    0.00000e+00    3.21271e+21    2.08965e+21    0.00000e+00    0.00000e+00
    4.14200e-06    2.86397e+21    0.00000e+00    3.11043e+21    2.20187e+21    0.00000e+00    0.00000e+00
    4.35800e-06    2.77910e+21    0.00000e+00    2.97876e+21    2.36898e+21    0.00000e+00    0.00000e+00
    4.58500e-06    2.64989e+21    0.00000e+00    2.91038e+21    2.53609e+21    0.00000e+00    0.00000e+00
    4.82400e-06    2.55144e+21    0.00000e+00    2.89961e+21    2.71181e+21    0.00000e+00    0.00000e+00
    5.07500e-06    2.48094e+21    0.00000e+00    2.82188e+21    2.88456e+21    0.00000e+00    0.00000e+00
    5.33900e-06    2.36293e+21    0.00000e+00    2.89230e+21    3.07341e+21    0.00000e+00    0.00000e+00
    5.61700e-06    2.31793e+21    0.00000e+00    2.82277e+21    3.23730e+21    0.00000e+00    0.00000e+00
    5.90900e-06    2.18166e+21    0.00000e+00    2.94308e+21    3.43820e+21    0.00000e+00    0.00000e+00
    6.21700e-06    2.16895e+21    0.00000e+00    2.90227e+21    3.63978e+21    0.00000e+00    0.00000e+00
    6.54100e-06    2.06899e+21    0.00000e+00    3.03753e+21    3.83029e+21    0.00000e+00    0.00000e+00
    6.88100e-06    2.02522e+21    0.00000e+00    3.06234e+21    4.04126e+21    0.00000e+00    0.00000e+00
    7.24000e-06    1.96293e+21    0.00000e+00    3.17699e+21    4.21996e+21    0.00000e+00    0.00000e+00
    7.61700e-06    1.93755e+21    0.00000e+00    3.22879e+21    4.47020e+21    0.00000e+00    0.00000e+00
    8.01300e-06    1.85896e+21    0.00000e+00    3.36392e+21    4.64418e+21    0.00000e+00    0.00000e+00
    8.43000e-06    1.87548e+21    0.00000e+00    3.43639e+21    4.87076e+21    0.00000e+00    0.00000e+00
    8.86900e-06    1.81209e+21    0.00000e+00    3.56799e+21    5.09688e+21    0.00000e+00    0.00000e+00
    9.33100e-06    1.81414e+21    0.00000e+00    3.65953e+21    5.28971e+21    0.00000e+00    0.00000e+00
    9.81700e-06    1.76462e+21    0.00000e+00    3.75417e+21    5.54866e+21    0.00000e+00    0.00000e+00
    1.03300e-05    1.76716e+21    0.00000e+00    3.88138e+21    5.68958e+21    0.00000e+00    0.00000e+00
    1.08700e-05    1.74643e+21    0.00000e+00    3.95181e+21    5.96528e+21    0.00000e+00    0.00000e+00
    1.14300e-05    1.75400e+21    0.00000e+00    4.07868e+21    6.12582e+21    0.00000e+00    0.00000e+00
    1.20300e-05    1.73360e+21    0.00000e+00    4.15368e+21    6.39211e+21    0.00000e+00    0.00000e+00
    1.26500e-05    1.75145e+21    0.00000e+00    4.25393e+21    6.52634e+21    0.00000e+00    0.00000e+00
    1.33100e-05    1.72879e+21    0.00000e+00    4.36159e+21    6.79162e+21    0.00000e+00    0.00000e+00
    1.40100e-05    1.76225e+21    0.00000e+00    4.44320e+21    6.96329e+21    0.00000e+00    0.00000e+00
    1.47300e-05    1.76283e+21    0.00000e+00    4.54596e+21    7.18247e+21    0.00000e+00    0.00000e+00
    1.55000e-05    1.78090e+21    0.00000e+00    4.60367e+21    7.33263e+21    1.00234e+17    0.00000e+00
    1.63100e-05    1.80292e+21    0.00000e+00    4.70565e+21    7.55377e+21    1.10544e+17    0.00000e+00
    1.71600e-05    1.82618e+21    0.00000e+00    4.77174e+21    7.70653e+21    1.21965e+17    0.00000e+00
    1.80500e-05    1.86270e+21    0.00000e+00    4.82431e+21    7.86243e+21    1.34494e+17    0.00000e+00
    1.89900e-05    1.86904e+21    0.00000e+00    4.91061e+21    8.04135e+21    1.48275e+17    0.00000e+00
    1.99800e-05    1.92696e+21    0.00000e+00    4.96253e+21    8.18974e+21    1.63689e+17    0.00000e+00
    2.10200e-05    1.94276e+21    0.00000e+00    5.01636e+21    8.33355e+21    1.80326e+17    0.00000e+00
    2.21200e-05    1.98938e+21    0.00000e+00    5.06539e+21    8.45529e+21    1.99268e+17    0.00000e+00
    2.32700e-05    2.01476e+21    0.00000e+00    5.09336e+21    8.58242e+21    2.19343e+17    0.00000e+00
    2.44800e-05    2.06223e+21    0.00000e+00    5.13003e+21    8.68332e+21    2.42388e+17    0.00000e+00
    2.57500e-05    2.10598e+21    0.00000e+00    5.15793e+21    8.79458e+21    2.66575e+17    0.00000e+00
    2.70900e-05    2.14724e+21    0.00000e+00    5.17811e+21    8.85698e+21    2.94776e+17    0.00000e+00
    2.85000e-05    2.18801e+21    0.00000e+00    5.19631e+21    8.97485e+21    3.24477e+17    0.00000e+00
    2.99900e-05    2.24053e+21    0.00000e+00    5.19222e+21    8.97963e+21    3.58731e+17    0.00000e+00
    3.15500e-05    2.28168e+21    0.00000e+00    5.20143e+21    9.06960e+21    3.95075e+17    0.00000e+00
    3.31900e-05    2.32653e+21    0.00000e+00    5.17257e+21    9.07372e+21    4.36258e+17    0.00000e+00
    3.49200e-05    2.36592e+21    0.00000e+00    5.17482e+21    9.14402e+21    4.80835e+17    0.00000e+00
    3.67400e-05    2.40953e+21    0.00000e+00    5.14298e+21    9.11966e+21    5.30737e+17    0.00000e+00
    3.86500e-05    2.46066e+21    0.00000e+00    5.13025e+21    9.12368e+21    5.85169e+17    0.00000e+00
    4.06600e-05    2.48147e+21    0.00000e+00    5.08877e+21    9.11075e+21    6.45318e+17    0.00000e+00
    4.27800e-05    2.53873e+21    0.00000e+00    5.05112e+21    9.07343e+21    7.12139e+17    0.00000e+00
    4.50100e-05    2.55268e+21    0.00000e+00    4.99846e+21    9.04909e+21    7.84975e+17    0.00000e+00
    4.73500e-05    2.60884e+21    0.00000e+00    4.95720e+21    8.98610e+21    8.66549e+17    0.00000e+00
    4.98200e-05    2.61900e+21    0.00000e+00    4.90293e+21    8.92745e+21    9.54567e+17    0.00000e+00
