Hawking secondary spectra for each particle type.
energy/particle         photon       electron           nu_e          nu_mu         nu_tau         proton
    1.00000e-06    1.31453e+22    0.00000e+00    3.68052e+22    1.84338e+20    0.00000e+00    0.00000e+00
    1.05200e-06    1.22092e+22    0.00000e+00    3.45575e+22    2.04029e+20    0.00000e+00    0.00000e+00
    1.10700e-06    1.19384e+22    0.00000e+00    3.31367e+22    2.49574e+20    0.00000e+00    0.00000e+00
    1.16400e-06    1.10687e+22    0.00000e+00    3.08321e+22    2.58677e+20    0.00000e+00    0.00000e+00
    1.22500e-06    1.07964e+22    0.00000e+00    2.93113e+22    3.06767e+20    0.00000e+00    0.00000e+00
    1.28900e-06    1.00279e+22    0.00000e+00    2.69837e+22    3.17988e+20    0.00000e+00    0.00000e+00
    1.35600e-06    9.85422e+21    0.00000e+00    2.55822e+22    3.68146e+20    0.00000e+00    0.00000e+00
    1.42700e-06    9.22952e+21    0.00000e+00    2.32278e+22    3.78684e+20    0.00000e+00    0.00000e+00
    1.50100e-06    8.98918e+21    0.00000e+00    2.18102e+22    4.58783e+20    0.00000e+00    0.00000e+00
    1.57900e-06    8.33030e+21    0.00000e+00    1.98182e+22    4.74236e+20    0.00000e+00    0.00000e+00
    1.66100e-06    8.22372e+21    0.00000e+00    1.83680e+22    5.43510e+20    0.00000e+00    0.00000e+00
    1.74800e-06    7.66105e+21    0.00000e+00    1.66156e+22    5.83424e+20    0.00000e+00    0.00000e+00
    1.83900e-06    7.43422e+21    0.00000e+00    1.52526e+22    6.42917e+20    0.00000e+00    0.00000e+00
    1.93500e-06    7.00193e+21    0.00000e+00    1.38629e+22    7.37424e+20    0.00000e+00    0.00000e+00
    2.03500e-06    6.74726e+21    0.00000e+00    1.25014e+22    7.38421e+20    0.00000e+00    0.00000e+00
    2.14100e-06    6.34369e+21    0.00000e+00    1.14936e+22    8.62650e+20    0.00000e+00    0.00000e+00
    2.25300e-06    6.12893e+21    0.00000e+00    1.02106e+22    9.04003e+20    0.00000e+00    0.00000e+00
    2.37000e-06    5.81078e+21    0.00000e+00    9.34855e+21    9.91897e+20    0.00000e+00    0.00000e+00
    2.49300e-06    5.56173e+21    0.00000e+00    8.33346e+21    1.08605e+21    0.00000e+00    0.00000e+00
    2.62300e-06    5.28820e+21    0.00000e+00    7.64507e+21    1.16531e+21    0.00000e+00    0.00000e+00
    2.76000e-06    4.99610e+21    0.00000e+00    6.89981e+21    1.27479e+21    0.00000e+00    0.00000e+00
    2.90400e-06    4.79057e+21    0.00000e+00    6.28869e+21    1.36579e+21    0.00000e+00    0.00000e+00
    3.05500e-06    4.54270e+21    0.00000e+00    5.69376e+21    1.53068e+21    0.00000e+00    0.00000e+00
    3.21400e-06    4.32615e+21    0.00000e+00    5.23493e+21    1.59481e+21    0.00000e+00    0.00000e+00
    3.38100e-06    4.11748e+21    0.00000e+00    4.81023e+21    1.78318e+21    0.00000e+00    0.00000e+00
    3.55700e-06    3.92139e+21    0.00000e+00    4.47498e+21    1.86885e+21    0.00000e+00    0.00000e+00
    3.74200e-06    3.76420e+21    0.00000e+00    4.14364e+21    2.01738e+21    0.00000e+00    0.00000e+00
    3.93700e-06    3.58551e+21    0.00000e+00    3.89842e+21    2.19174e+21    0.00000e+00    0.00000e+00
    4.14200e-06    3.42237e+21    0.00000e+00    3.73870e+21    2.34939e+21    0.00000e+00    0.00000e+00
    4.35800e-06    3.31850e+21    0.00000e+00    3.51972e+21    2.51982e+21    0.00000e+00    0.00000e+00
    4.58500e-06    3.13835e+21    0.00000e+00    3.49490e+21    2.68674e+21    0.00000e+00    0.00000e+00
