Hawking primary spectra for each particle types.
energy/particle         photon         gluons          higgs            W+-             Z0      neutrinos       electron           muon            tau             up           down          charm        strange            top         bottom       graviton
    1.40000e-05    3.02908e+13    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    2.81611e+17    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    8.57741e+05
    1.55994e-05    4.15679e+13    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    3.47045e+17    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.47859e+06
    1.73815e-05    5.70434e+13    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    4.27684e+17    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    2.54881e+06
    1.93672e-05    7.82805e+13    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    5.27060e+17    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    4.39368e+06
    2.15798e-05    1.07424e+14    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    6.49527e+17    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    7.57388e+06
    2.40451e-05    1.47417e+14    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    8.00449e+17    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.30560e+07
    2.67921e-05    2.02300e+14    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    9.86440e+17    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    2.25061e+07
    2.98529e-05    2.77615e+14    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.21565e+18    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    3.87963e+07
    3.32634e-05    3.80970e+14    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.49811e+18    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    6.68776e+07
    3.70635e-05    5.22804e+14    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.84621e+18    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.15285e+08
    4.12978e-05    7.17441e+14    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    2.27519e+18    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.98729e+08
    4.60158e-05    9.84541e+14    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    2.80385e+18    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    3.42572e+08
    5.12727e-05    1.35108e+15    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    3.45535e+18    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    5.90531e+08
    5.71303e-05    1.85408e+15    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    4.25823e+18    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.01797e+09
    6.36570e-05    2.54435e+15    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    5.24767e+18    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.75478e+09
