Hawking secondary spectra for each particle type.
energy/particle         photon       electron           nu_e          nu_mu         nu_tau         proton
    1.00000e-06    7.30774e+25    0.00000e+00    5.28407e+22    1.58307e+17    0.00000e+00    0.00000e+00
    1.05200e-06    6.97966e+25    0.00000e+00    4.86284e+22    1.57559e+17    0.00000e+00    0.00000e+00
    1.10700e-06    6.61961e+25    0.00000e+00    6.22059e+22    2.24715e+17    0.00000e+00    0.00000e+00
    1.16400e-06    6.34669e+25    0.00000e+00    6.16610e+22    2.18169e+17    0.00000e+00    0.00000e+00
    1.22500e-06    6.01650e+25    0.00000e+00    6.84745e+22    3.26225e+17    0.00000e+00    0.00000e+00
    1.28900e-06    5.72417e+25    0.00000e+00    7.60064e+22    3.12027e+17    0.00000e+00    0.00000e+00
    1.35600e-06    5.45579e+25    0.00000e+00    8.81892e+22    3.65709e+17    0.00000e+00    0.00000e+00
    1.42700e-06    5.19635e+25    0.00000e+00    8.92238e+22    4.20920e+17    0.00000e+00    0.00000e+00
    1.50100e-06    4.96732e+25    0.00000e+00    1.07142e+23    5.69625e+17    0.00000e+00    0.00000e+00
    1.57900e-06    4.69870e+25    0.00000e+00    1.07020e+23    6.62553e+17    0.00000e+00    0.00000e+00
    1.66100e-06    4.47628e+25    0.00000e+00    1.34246e+23    7.39837e+17    0.00000e+00    0.00000e+00
    1.74800e-06    4.28562e+25    0.00000e+00    1.31659e+23    9.02527e+17    0.00000e+00    0.00000e+00
    1.83900e-06    4.05857e+25    0.00000e+00    1.55954e+23    1.02967e+18    0.00000e+00    0.00000e+00
    1.93500e-06    3.88373e+25    0.00000e+00    1.71541e+23    1.25893e+18    0.00000e+00    0.00000e+00
    2.03500e-06    3.71482e+25    0.00000e+00    1.83456e+23    1.32884e+18    0.00000e+00    0.00000e+00
    2.14100e-06    3.51699e+25    0.00000e+00    2.15537e+23    1.83688e+18    0.00000e+00    0.00000e+00
    2.25300e-06    3.39289e+25    0.00000e+00    2.43376e+23    1.83510e+18    0.00000e+00    0.00000e+00
    2.37000e-06    3.17813e+25    0.00000e+00    2.53876e+23    2.51060e+18    0.00000e+00    0.00000e+00
    2.49300e-06    3.10000e+25    0.00000e+00    2.94314e+23    2.53486e+18    0.00000e+00    0.00000e+00
    2.62300e-06    2.87105e+25    0.00000e+00    3.25511e+23    3.43062e+18    0.00000e+00    0.00000e+00
    2.76000e-06    2.82464e+25    0.00000e+00    3.44907e+23    3.40153e+18    0.00000e+00    0.00000e+00
    2.90400e-06    2.62058e+25    0.00000e+00    4.05924e+23    4.01896e+18    0.00000e+00    0.00000e+00
    3.05500e-06    2.54283e+25    0.00000e+00    4.10014e+23    4.52182e+18    0.00000e+00    0.00000e+00
    3.21400e-06    2.39129e+25    0.00000e+00    4.59223e+23    6.00559e+18    0.00000e+00    0.00000e+00
    3.38100e-06    2.30870e+25    0.00000e+00    5.18535e+23    6.76096e+18    0.00000e+00    0.00000e+00
    3.55700e-06    2.17688e+25    0.00000e+00    5.31144e+23    7.79881e+18    0.00000e+00    0.00000e+00
    3.74200e-06    2.08696e+25    0.00000e+00    5.93483e+23    9.29238e+18    0.00000e+00    0.00000e+00
    3.93700e-06    1.99061e+25    0.00000e+00    6.47927e+23    1.03850e+19    0.00000e+00    0.00000e+00
    4.14200e-06    1.88517e+25    0.00000e+00    7.11455e+23    1.27322e+19    0.00000e+00    0.00000e+00
    4.35800e-06    1.81021e+25    0.00000e+00    7.49246e+23    1.33883e+19    0.00000e+00    0.00000e+00
    4.58500e-06    1.71012e+25    0.00000e+00    8.52896e+23    1.81349e+19    0.00000e+00    0.00000e+00
    4.82400e-06    1.64893e+25    0.00000e+00    8.78888e+23    1.83297e+19    0.00000e+00    0.00000e+00
    5.07500e-06    1.55471e+25    0.00000e+00    9.79184e+23    2.44825e+19    0.00000e+00    0.00000e+00
    5.33900e-06    1.49545e+25    0.00000e+00    1.03863e+24    2.47278e+19    0.00000e+00    0.00000e+00
    5.61700e-06    1.40982e+25    0.00000e+00    1.13593e+24    3.31605e+19    0.00000e+00    0.00000e+00
    5.90900e-06    1.34986e+25    0.00000e+00    1.21646e+24    3.30503e+19    0.00000e+00    0.00000e+00
    6.21700e-06    1.28914e+25    0.00000e+00    1.31185e+24    4.60523e+19    0.00000e+00    0.00000e+00
    6.54100e-06    1.22334e+25    0.00000e+00    1.40185e+24    4.56136e+19    0.00000e+00    0.00000e+00
    6.88100e-06    1.17800e+25    0.00000e+00    1.49970e+24    5.21310e+19    0.00000e+00    0.00000e+00
    7.24000e-06    1.10687e+25    0.00000e+00    1.60663e+24    5.94919e+19    0.00000e+00    0.00000e+00
    7.61700e-06    1.06901e+25    0.00000e+00    1.71130e+24    7.74625e+19    0.00000e+00    0.00000e+00
    8.01300e-06    1.00562e+25    0.00000e+00    1.83777e+24    8.86797e+19    0.00000e+00    0.00000e+00
    8.43000e-06    9.62613e+24    0.00000e+00    1.95124e+24    1.17584e+20    0.00000e+00    0.00000e+00
    8.86900e-06    9.12514e+24    0.00000e+00    2.06247e+24    1.35639e+20    0.00000e+00    0.00000e+00
    9.33100e-06    8.77580e+24    0.00000e+00    2.21647e+24    1.67391e+20    0.00000e+00    0.00000e+00
    9.81700e-06    8.22882e+24    0.00000e+00    2.36105e+24    1.91607e+20    0.00000e+00    0.00000e+00
    1.03300e-05    8.01557e+24    0.00000e+00    2.46304e+24    2.30645e+20    0.00000e+00    0.00000e+00
    1.08700e-05    7.52719e+24    0.00000e+00    2.65782e+24    2.69362e+20    0.00000e+00    0.00000e+00
