   1000000000000.0000        9.6080136735381664E-015   9.1023287433519465E-015
   1596692511945.5286        2.8873548533761438E-015   2.7429871107073362E-015
   2549426977702.9219        1.5981908071301158E-016   1.5389985550141855E-016
   4070650965050.1758        1.3443528230456736E-016   1.2883381220854370E-016
   6499577914639.4551        6.1234221585089700E-017   5.8682795685710958E-017
   10377827387111.354        8.7121242257604916E-018   8.4701207750449236E-018
   16570199279263.928        2.3569483997867201E-018   2.3068005614933855E-018
   26457513110645.910        1.0619143129991263E-018   1.0326873135587833E-018
   42244513068468.977        3.6773325330548355E-019   3.5761215459065373E-019
   67451497687209.438        1.0394965488789105E-019   1.0141429745160101E-019
   107699301276678.45        2.3576126298393527E-020   2.2943210156154776E-020
   171962667890238.00        8.8575409133009868E-021   8.6478949745246330E-021
   274571504154518.78        3.2657178423300855E-021   3.1667566955928106E-021
   438406264677140.75        9.4895593930399365E-022   9.1639372570042528E-022
   700000000000000.12        3.0619069158027420E-022   2.9558012306016563E-022
