   800000000000000.38        1.6895735413331371E-005   1.6439093915673767E-005
   958165881115824.00        1.5455443117076801E-004   1.5026125252713557E-004
   1147602319668074.2        4.0273010760919810E-004   3.9206176038776238E-004
   1374491734744154.2        9.4326931874492038E-004   9.2512952415367198E-004
   1646238855134430.2        1.3458794256900422E-003   1.3090060167670274E-003
   1971712378946232.5        2.3000255137611671E-003   2.2477522066302312E-003
   2361534411099982.5        4.5720855291748463E-003   4.4376124253755868E-003
   2828427124746190.5        1.0400996420778725E-002   1.0054296540086100E-002
   3387627960192912.0        3.0569199760628728E-002   2.9393461308296853E-002
   4057386911713535.5       0.10449270419121853       0.10449270419121853     
   4859562131612263.0       0.40008377887714558       0.40008377887714558     
   5820333289591669.0        1.6439851885916750        1.6439851885916752     
   6971055968511703.0        10.282731614377179        10.282731614377180     
   8349284980470887.0        73.608700160913301        73.608700160913301     
   10000000000000000.        865.46367290214187        807.76609470866561     
